place,name,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""4934530""","""Helper""",0.21,482.05,201.76,1156.31,51,59,45,21,26,18,30,33,27,9.35,2.13,1.96,2,2,24105,21589,24492,1,1,1,14204,12424,14546,10672,9261,10957,3512,3147,3569,19,16,20,16,13,17,2.7,0.6,1.99,0.17,1386,77,915,80,33,26,2241,801,899,485,76,24
"""4934640""","""Henefer""",0.04,33.52,11.54,1574.76,37,45,60,18,22,30,20,23,30,11.10,0.10,2.45,2,2,27545,24687,26266,1,0,0,17976,16587,16162,13961,12989,12334,4015,3599,3827,0,0,0,79,26,22,0.5,1.7,0.81,0.01,1007,88,1341,81,287,4,4043,1344,1503,572,83,17
"""4934750""","""Henrieville""",0.00,2.16,0.71,857.73,61,71,49,24,30,19,37,41,30,11.06,0.01,2.22,2,2,24816,22242,25284,2,2,2,15736,14052,16270,12077,10768,12541,3616,3242,3684,43,42,45,37,36,38,0.7,0.5,0.48,0.00,230,66,273,75,832,2,5284,853,968,453,78,22
"""4934970""","""Herriman""",2.72,21213.07,5634.09,13312.50,55,65,61,30,38,35,25,27,26,11.24,12.70,2.08,2,2,25107,22439,23069,2,2,2,15587,13484,13858,11877,10170,10449,3660,3270,3361,49,45,47,44,40,42,1.9,2.2,3.17,0.42,9998,71,9103,88,35,32,1652,1572,1710,980,74,26
"""4935120""","""Hideout""",0.00,7.84,3.39,2131.24,57,68,67,30,38,37,27,30,30,10.36,0.02,2.38,2,2,27981,25444,25585,1,1,1,17713,15898,15968,13611,12171,12221,4079,3707,3728,23,19,19,20,16,16,1.3,0.6,1.70,0.00,521,77,708,79,595,3,5373,1673,2043,1071,62,38
"""4935190""","""Highland""",10.32,15664.64,3605.70,5513.01,67,79,73,39,49,45,28,30,27,12.36,10.14,2.29,2,2,27816,25032,24476,0,0,0,17131,14919,14762,13076,11272,11196,4055,3647,3566,0,0,0,0,0,0,2.2,1.0,1.17,0.65,8832,95,10024,89,17,85,1174,2034,2061,749,91,9
"""4935300""","""Hildale""",0.04,159.25,23.63,3581.31,57,69,54,27,34,26,30,35,29,12.52,0.09,2.12,2,2,25588,23361,25311,1,2,1,15271,14213,15396,11532,10797,11698,3728,3404,3688,10,12,10,25,30,25,1.7,0.3,0.43,0.01,395,86,456,78,413,3,3840,1154,1236,1061,51,49
"""4935740""","""Hinckley""",0.19,204.26,70.58,3190.86,56,67,53,25,31,24,31,36,29,11.23,0.27,2.26,2,2,26735,24118,25753,1,1,1,16196,14885,15885,12275,11346,12106,3896,3514,3753,26,24,27,22,21,23,1.0,0.3,0.26,0.02,530,90,411,77,108,11,3004,1056,1106,764,85,15
"""4935960""","""Holden""",0.00,1.49,0.55,342.64,55,66,52,21,27,20,34,39,32,11.14,0.02,2.47,2,2,27287,24680,26304,2,1,2,17446,16199,17160,13442,12576,13299,3976,3596,3833,28,27,29,24,23,25,0.1,0.4,0.43,0.00,329,96,351,76,391,3,3763,920,974,565,87,13
"""4936070""","""Holladay""",23.31,30687.15,11552.30,5430.91,56,66,62,33,42,39,23,24,23,8.57,24.20,1.90,2,2,22072,19663,20225,4,4,4,14153,12033,12438,10841,9079,9400,3217,2865,2947,95,89,91,85,81,82,4.2,7.8,3.03,2.13,23677,70,39867,90,12,152,1144,1730,1892,826,75,25
